Statement,Verbs
"dobra psu mucha, a chłopowi rzepa","0, 1, 2, 6"
dobra żona – mężowi korona,"0, 1, 3, 4"
"dobra żona tym się chlubi, że gotuje, co mąż lubi","0, 1, 2, 9, 10, 11"
dobrane małżeństwo to raj na ziemi,"1, 2, 3, 5"
dobrego gniazda dobre plemię,"0, 1, 2, 3"
dobrego syna nigdy Bóg nie zapomina,"0, 1, 3"
"dobry chleb z solą, byle z dobrą wolą","0, 1, 3, 8"
"dobry chleb, gdy kołacza nie masz","0, 1, 4"
dobry żart tynfa wart,"0, 1, 2, 3"
dobrymi chęciami jest piekło wybrukowane,"0, 1, 3"
"doczeka się pieska gałąź, choć mu się odwlecze","2, 3"
"dopóty dzban wodę nosi, dopóki mu się ucho nie urwie","1, 2, 8, 10"
dzieci i ryby głosu nie mają,"0, 2, 3, 5"
"dzisiaj bal, jutro żal","0, 1, 3, 4"
"dziura w worze, gość w komorze, piasek w mące, woda w łące, kąkol w życie, złość w habicie — rzeczy niecne","0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24"
elektryka prąd nie tyka,"0, 1, 3"
figur na figur mawiał święty Igór,"0, 2, 4"
fortuna często rozumowi przeczy,"0, 2"
fortuna kołem się toczy,"0, 1"
"gdy bez wiatrów luty chodzi, w kwietniu wicher nie zawodzi","1, 2, 3, 7, 8"
"gdy chłop baby nie bije, to jej wątroba gnije","1, 2, 6, 8"
"gdy ciepło w lutym, zimno w marcu bywa, długo trwa zima, to jest niewątpliwa","1, 3, 5, 7, 12, 14"
"gdy deszcz w świętego Michała, będzie łagodna zima cała","1, 3, 4, 8"
"gdy deszcz w świętego Urbana, mały profit z winobrania","1, 3, 4, 6, 7, 9"
"gdy Franciszka z wichrem po polu hasa, może sypnąć śniegiem powyżej pasa","1, 3, 5, 10, 12"
"gdy Halina łąki zrosi, rolnik w wodzie siano kosi","1, 2, 5, 7, 8, 9"
"gdy Katarzyna kurzy, wszystka się radość zburzy","1, 2, 6"
"gdy kota nie ma, myszy harcują","1, 5"
"gdy mróz w lutym ostro trzyma, tedy jest niedługa zima","1, 3, 10"
"gdy na Małgorzaty mróz, jeszcze długo nie pojedzie wóz","2, 3, 9"
"gdy na Michała obrodzą żołędzie, dużo śniegów w zimie będzie","2, 4, 7, 9"
"gdy na świętą Barbarę gęś chodzi po lodzie, to Boże Narodzenie będzie po wodzie","2, 3, 4, 7, 9, 10, 11, 14"
"gdy na świętą Barbarę mróz, sanie na górę włóż, a szykuj dobry wóz","2, 3, 4, 6, 8, 13, 14"
"gdy na świętego Prota jest pogoda albo słota, to na świętego Hieronima jest deszcz albo go ni ma","2, 3, 5, 6, 7, 9, 11, 12, 14, 15, 16, 17"
"gdy na święty Jerzy jeszcze nie rozkwita, niech się cieszy stary, młody, chłop i kobieta","2, 3, 11, 13, 15, 17"
"gdy na święty Józef bociek przybędzie, to już śniegu nie będzie","2, 3, 4, 7, 9"
"gdy na święty Paweł jasno, po żniwach też będzie ciasno","2, 3, 7"
"gdy na święty Paweł jasno, po żniwach w stodole ciasno","2, 3, 7, 9"
"gdy na święty Walek deszcze, mrozy wrócą jeszcze","2, 3, 4, 6"
"gdy na Walka są deszcze, będzie ostry mróz jeszcze","2, 4, 8"
"gdy na Wawrzyńca orzechy obrodzą, to w zimie mrozy dogodzą","2, 3, 6, 8, 9"
"gdy na Wincentego i nawrócenie Pawła pogoda świeci, spodziewajcie się dobrego lata, dzieci","2, 4, 5, 6, 11, 12, 14"
"gdy noc jasna na Michała, to nastąpi zima trwała","1, 4, 6, 8, 9"
"gdy pająk w lipcu przychodzi, to za sobą deszcz przywodzi, gdy swą pajęczynę snuje, bliską burzę czuje","1, 3, 6, 8, 9, 14, 18, 19"
"gdy październik ciepło trzyma, zwykle mroźna bywa zima","1, 2, 8"
"gdy przyjdzie Agnieszka, rozbije ogonem lód pliszka","2, 5, 6, 7"
"gdy przyjdzie marzec, umrze niejeden starzec","2, 5, 6"
"gdy przyjdzie święta Agnieszka, przebije lód ogonem pliszka","2, 3, 6, 7, 8"
"gdy rodzina żyje w zgodzie, to jej bieda nie dobodzie","1, 4, 6, 8"
"gdy się człowiek spieszy, to się diabeł cieszy","2, 5, 7"
"gdy się diabeł zestarzeje, chce zostać mnichem","2, 7"
"gdy się drzewo obali, każdy wióry zbiera","2, 6"
"gdy się grzmot w lipcu od południa poda, drzewom się znaczy szwank i nieuroda","2, 4, 5, 6, 9, 12, 14"
"gdy słońce przygrzewa na Jana Dobrego, spodziewać się można lata pogodnego","1, 4, 5, 10"
"gdy styczeń z zimnem nie chodzi, marzec, kwiecień wychłodzi","1, 3, 7, 9"
"gdy święty Andrzej ze śniegiem przybieży, sto dni śnieg na polu leży","1, 2, 4, 8, 9, 11, 12"
"gdy Święty Maciej zimę poprawia, to Oblubieniec mrozy zostawia","1, 2, 3, 6, 7, 8"
"gdy Trzej Królowie ciepłem darzą, gospodarze o wiośnie gwarzą","1, 2, 3, 6, 8"
"gdy w Andrzeja deszcz lub słota, w grudniu drogi bez błota","2, 3, 5, 8, 9, 10, 11"
"gdy w Katarzynę lód nie stanie – szykuj sanie, gdy w Katarzynę mróz – szykuj wóz","2, 3, 5, 8, 12, 13, 16"
"gdy w Katarzynę zima, śnieg nie poleży, mróz nie potrzyma","2, 3, 5, 9"
"gdy w lipcu słońce dopieka, burza niedaleka","2, 3, 6"
"gdy w Michała deszcz spadnie, lekka zima będzie snadnie","2, 3, 7"
"gdy w Michała wiatr od wschodu lub północy, w zimie mrozy wielkiej mocy","2, 3, 4, 5, 7, 10, 11, 13"
"gdy w styczniu deszcz leje, złe robi nadzieje","2, 3, 4, 6, 8"
"gdy w świętą Barbarę gęś chodzi po lodzie, to Boże Narodzenie będzie po wodzie","2, 3, 4, 7, 9, 10, 11, 14"
