Statement,Verbs
"syn tylko worki zliczy, w rozumie nie dziedziczy","0, 2, 6"
szczęścia ojcowskiego syn nie dziedziczy,"0, 2"
szewc bez butów chodzi,"0, 1, 2"
szkoda psu białego chleba,"0, 1, 2, 3"
"szkoda wielkiej pracy, kędy mała zmoże","0, 2, 5"
szlachcic na zagrodzie równy wojewodzie,"0, 2, 4"
"szukaj pracy jak chleba, nie jak noża","1, 2, 3, 6, 7"
"szukajcie, a znajdziecie",
"ak krawiec kraje, jak mu materii staje","0, 1, 2, 4, 6, 7"
tego kwiatu jest pół światu,"0, 1, 3, 4"
"ten się śmieje, kto się śmieje ostatni","4, 7"
tłuc się jak marek po piekle,"2, 3, 5"
tonący brzytwy się chwyta,"0, 1"
trafiła kosa na kamień,"1, 3"
trafiło się ślepej kurze ziarno,"2, 3, 4"
trefelki kolorek niewielki,"0, 1"
trzeba chleba i nieba,"1, 3"
trzeba nieba i chleba,"1, 3"
"trzeba nieba, ale trza i chleba","1, 6"
trzecia ręka bije,"0, 1"
trzecia ręka bije i płacze,"0, 1, 4"
trzymaj język za zębami,"1, 3"
tu leży pies pogrzebany,"1, 2"
u dobrego męża dobra żona,"1, 2, 3, 4"
u wdowy chleb gotowy,"1, 2"
"u wdowy chleb gotowy, ale nie każdemu zdrowy","1, 2"
"u wdowy chleb gotowy, ale niezdrowy","1, 2"
"uczył Marcin Marcina, a sam głupi jak świnia","1, 2, 5, 6, 7, 8"
uczyła matula nie wychodź spod króla,"1, 5"
"uderz w stół, a nożyce się odezwą","2, 5, 7"
ukłon niski fałszu bliski,"0, 2, 3"
"umarł król, niech żyje król","1, 5"
upały lipcowe wróżą mrozy styczniowe,"0, 3"
"Urszula jaka, cała zima taka","0, 1, 4, 5"
w dzień Adama i Ewy daruj bliźnim gniewy,"1, 2, 4, 6, 7"
w dzień świętego Andrzeja pannom z wróżby nadzieja,"1, 2, 3, 4, 6, 7"
"w dzień świętej Agaty, jeśli słonko przez okienko zajrzy do chaty, to wiosenka na świat podgląda zza zimowej kraty","1, 2, 3, 6, 8, 10, 11, 13, 14, 16, 20"
w dzień świętej Małgorzaty pierwsze gruszki do chaty,"1, 2, 3, 4, 5, 6, 7"
w dzień Trzech Króli każdy się do pieca tuli,"1, 3, 6, 7, 8"
"w górach początek wody, a koniec chleba","1, 2, 3, 6, 7"
"w Katarzynę z nieba nic nie spadnie, będzie w przyszłym lutym chyba jeszcze ładniej","1, 3, 4, 11"
"w lipcu się już kłosek korzy, że niesie dar Boży, a najpierwsza Małgorzata sierp w zboże założy","1, 4, 9, 14, 15, 17"
"w lutym gdy zagrzmi od wschodniego boku, burze i wiatry walne są w tym roku","1, 4, 6, 8, 10, 14, 15"
w lutym wody wiele – w lecie głodne nawet cielę,"1, 2, 6, 7, 9"
"w lutym wody wiele, w lecie głodne i cielę","1, 2, 6, 7, 9"
w małżeństwie raj i piekło,"1, 2, 4"
w marcu jak w garncu,"1, 2, 4"
"w Narodzenie Panny Marii pogodnie, będzie tak cztery tygodnie","1, 2, 3, 7, 9"
w nocy wszystkie koty są czarne,"1, 3, 5"
w nocy wszystkie koty są szare,"1, 3"
w Pińczowie dnieje,1
w starym piecu diabeł pali,"1, 2, 3, 4"
"w styczniu grzmoty, częste słoty","1, 2, 5"
"w świętą Małgorzatę skąd wiatr duje, drogę po zboże toruje","1, 2, 4, 7, 9"
w święto Trzech Króli człek się w kożuch tuli,"1, 3, 4, 7, 8"
w święto Wawrzyńca śpieszą do młyńca,"1, 2, 4, 5"
"w Urbana, miły chłopie, siej len i konopie","1, 3, 4, 6, 7, 9"
"w Warszawie, w Krakowie i we Lwowie, kto bez grosza, głodu się dowie","1, 4, 7, 9, 10, 11, 13"
"wara kocie, idzie o cię","0, 1, 3"
"Wawrzyniec pokazuje, jaka jesień następuje","0, 3, 4"
wdowiec z wdową rzadko dobrze z sobą,"0, 2, 6"
więcej dwóch ujrzy niż jeden,"3, 4"
więcej poufałości niż znajomości,"1, 2, 3"
więcej szczęścia jest w dawaniu aniżeli w braniu,"1, 4"
"wiele wody, a ryb mało","1, 4"
"wilk morduje dla strawy, człowiek dla zabawy","0, 3, 5, 7"
wilk syty i owca cała,"0, 1, 3"
wilka nogi karmią,"0, 1, 2"
"wlazłszy między wrony, trzeba krakać jak one","2, 6"
"wlazłszy pomiędzy wrony, trzeba krakać jak i ony","2, 6"
"wszędzie dobrze, ale w domu najlepiej",5
wszystkie drogi prowadzą do Rzymu,"1, 3, 4"
wyjątek potwierdza regułę,"0, 2"
wymieniał stryjek siekierkę za kijek,"1, 2, 4"
"wysoki do nieba, a głupi jak trzeba","1, 2, 5, 6"
"wysoki jak brzoza, a głupi jak koza","1, 2, 5, 6, 7"
"wysoki jak topola, a głupi jak fasola","1, 2, 5, 6, 7"
wyszło szydło z worka,"1, 3"
"wzięli diabli krowę, niech biorą i cielę","1, 2, 7"
"wzięli diabli krowę, niech wezmą i cielę","1, 2, 7"
z braku laku dobry kit,"1, 2, 3, 4"
z czasem wróble na strachu siadają,"1, 2, 4"
z dużej chmury mały deszcz,"2, 3, 4"
z piasku bicza nie ukręcisz,"1, 2"
z próżnego i Salomon nie naleje,3
z pustego i Salomon nie naleje,"1, 3"
"z rankiem praca, w wieczór płaca","1, 2, 5, 6"
za Bóg zapłać niewiele kupisz,1
za króla Olbrachta wyginęła szlachta,"1, 2, 4"
"za pieniądze wszystkiego dostanie, prócz ojca i matki","1, 2, 6, 8"
za pracę i niebo kupić,"1, 3"
"żaden nie powinien być bogaty, jeno cnotliwy","3, 4, 6"
żadna praca nie hańbi,1
zamienił stryjek siekierkę na kijek,"1, 2, 4"
zamienił stryjek za siekierkę kijek,"1, 3, 4"
"zapomniał wół, jak cielęciem był","1, 3, 4"
"zapomniał wół, kiedy cielęciem był","1, 4"
"źdźbło w oku bliźniego widzisz, a belki w swoim nie dostrzegasz","0, 2, 3, 7, 9"
ze stolika gra pomyka,"1, 2, 3"
"ze świętą Małgorzatą upał przybiera, kanikułę otwiera","1, 2, 3, 6"
"ze wszystkich cnót siebie obdziera, kto swych rodziców nie wspiera","1, 2, 6, 8"
"żeby kózka nie skakała, toby nóżki nie złamała","1, 7"
"żeby mieć kołaczy, trzeba użyć pracy","2, 5, 6"
"zgoda buduje, niezgoda rujnuje","0, 3"
"ziarnko do ziarnka, a zbierze się miarka","0, 1, 2, 7"
"ziorko do ziorka, a bydzie miorka",1
zjedzony chleb bardzo ciężko odrabiać,1
złe nie śpi,0
źle się dzieje w państwie duńskim,"2, 4, 5"
złego diabli nie biorą,"0, 1"
złego diabli nie wezmą,"0, 1"
złej baletnicy przeszkadza nawet rąbek spódnicy,"1, 4, 5"
złej baletnicy przeszkadza nawet rąbek u spódnicy,"1, 4, 6"
złej baletnicy przeszkadza rąbek spódnicy,"1, 3, 4"
złej baletnicy przeszkadza rąbek u spódnicy,"1, 3, 5"
złej tanecznicy fartuch na zawadzie,"1, 2, 4"
złej tanecznicy przeszkadza nawet rąbek u spódnicy,"1, 4, 6"
złej tanecznicy przeszkadza rąbek spódnicy,"1, 3, 4"
złej tanecznicy przeszkadza rąbek u spódnicy,"1, 3, 5"
złej tanecznicy zawadza rąbek spódnicy,"1, 3, 4"
złej tanecznicy zawadza rąbek u spódnicy,"1, 3, 5"
złemu wrogowi daj chleba i soli,"0, 1, 3, 5"
zły ojciec rzadko ma dobrego syna,"0, 1, 4, 5"
"zły to ptak, co swe gniazdo plugawi","0, 1, 2, 4, 6"
znać kota po pazurach,"1, 3"
żona ładna zawsze zdradna,0
"Żyd okpi Niemca, diabeł Żyda, Rusin diabła, a Rusina niewiasta","0, 2, 4, 5, 7, 8, 11, 12"
